semantic_field,n,n_flagged,rate,baseline_rate,lift,odds_ratio,p_value,p_adjusted,significant
The house,39,15,0.38461538461538464,0.2701812191103789,1.4235459662288932,1.7212460063897763,0.1405125562095103,0.5847402053492095,False
Basic actions and technology,69,26,0.37681159420289856,0.2701812191103789,1.3946624248851185,1.6878176497766826,0.04987275483347674,0.35597122632739137,False
Spatial relations,67,25,0.373134328358209,0.2701812191103789,1.3810520567892248,1.658022945151658,0.0647220411504348,0.35597122632739137,False
Kinship,62,21,0.3387096774193548,0.2701812191103789,1.2536388670338316,1.4097878763803924,0.2396902926944286,0.6591483049096786,False
Religion and belief,22,7,0.3181818181818182,0.2701812191103789,1.1776607538802661,1.2662512980269989,0.6298698772278172,0.8919939862570412,False
Sense perception,48,15,0.3125,0.2701812191103789,1.1566310975609757,1.2387452802788266,0.5086760847023524,0.8919939862570412,False
Food and drink,75,22,0.29333333333333333,0.2701812191103789,1.085691056910569,1.129979035639413,0.6872028146807576,0.8919939862570412,False
Clothing and grooming,55,16,0.2909090909090909,0.2701812191103789,1.0767184035476718,1.113740959894806,0.7562276380648609,0.8919939862570412,False
Agriculture and vegetation,62,18,0.2903225806451613,0.2701812191103789,1.074547600314713,1.1111436950146627,0.7690840157628998,0.8919939862570412,False
Emotions and values,45,13,0.28888888888888886,0.2701812191103789,1.069241192411924,1.101388888888889,0.7352577491891537,0.8919939862570412,False
Motion,71,20,0.28169014084507044,0.2701812191103789,1.0425970456887668,1.063152533740769,0.7848417913207812,0.8919939862570412,False
The body,140,38,0.2714285714285714,0.2701812191103789,1.004616724738676,1.0071670047329278,1.0,1.0,False
Warfare and hunting,36,9,0.25,0.2701812191103789,0.9253048780487805,0.8975966562173459,0.8514488050635394,0.8919939862570412,False
Animals,92,23,0.25,0.2701812191103789,0.9253048780487805,0.892896174863388,0.7149990480596209,0.8919939862570412,False
Law,25,6,0.24,0.2701812191103789,0.8882926829268293,0.8502778685845047,0.8238448282979791,0.8919939862570412,False
Speech and language,38,9,0.23684210526315788,0.2701812191103789,0.876604621309371,0.8337477029510323,0.7140890739578568,0.8919939862570412,False
Time,42,9,0.21428571428571427,0.2701812191103789,0.7931184668989547,0.7292675976061556,0.4819626289167708,0.8919939862570412,False
Social and political relations,33,7,0.21212121212121213,0.2701812191103789,0.7851071692535108,0.7213036184998802,0.5531334447566708,0.8919939862570412,False
The physical world,68,13,0.19117647058823528,0.2701812191103789,0.7075860832137733,0.6235497835497835,0.1594746014588753,0.5847402053492095,False
Possession,43,8,0.18604651162790697,0.2701812191103789,0.688598979013046,0.6078571428571429,0.22638787493089602,0.6591483049096786,False
Cognition,48,7,0.14583333333333334,0.2701812191103789,0.5397611788617886,0.4494339335916724,0.047511665010965584,0.35597122632739137,False
Quantity,34,1,0.029411764705882353,0.2701812191103789,0.10885939741750358,0.07904735427671207,0.0005569703219336561,0.012253347082540434,True
